latitude,longitude,date
25.73775,-100.324813,2025-02-21
25.779287,-100.389864,2025-02-21
25.778084,-100.385822,2025-02-21
25.672161,-100.329292,2025-02-21
25.640732,-100.315754,2025-02-21
25.714287,-100.3499,2025-02-21
25.696805,-100.354592,2025-02-21
25.672954,-100.274334,2025-02-21
25.660242,-100.282169,2025-02-21
25.755781,-100.376153,2025-02-21
25.689926,-100.344337,2025-02-21
25.686668,-100.330261,2025-02-21
25.705063,-100.36948,2025-02-21
25.667194,-100.284491,2025-02-21
25.723004,-100.374365,2025-02-21
25.735746,-100.351625,2025-02-21
25.734228,-100.348501,2025-02-21
25.7538,-100.358894,2025-02-21
25.635869,-100.314137,2025-02-21
25.667194,-100.284491,2025-02-21
25.635869,-100.314137,2025-02-21
25.724196,-100.368314,2025-02-21
25.666777,-100.327098,2025-02-21
25.663486,-100.30159,2025-02-21
25.666152,-100.289626,2025-02-21
25.662224,-100.314027,2025-02-21
25.685768,-100.297596,2025-02-21
25.751167,-100.39084,2025-02-21
25.685141,-100.323747,2025-02-21
25.701371,-100.351384,2025-02-21
25.690406,-100.344336,2025-02-21
25.672783,-100.352219,2025-02-21
25.677866,-100.289845,2025-02-21
25.669386,-100.31362,2025-02-21
25.6808,-100.351874,2025-02-21
25.686668,-100.330261,2025-02-21
25.70431,-100.321716,2025-02-21
25.666463,-100.278323,2025-02-21
25.683474,-100.351874,2025-02-21
25.683474,-100.351874,2025-02-21
25.676528,-100.274133,2025-02-21
25.673272,-100.278426,2025-02-21
25.660242,-100.282169,2025-02-21
25.685966,-100.316975,2025-02-21
25.682437,-100.298992,2025-02-21
25.673251,-100.287016,2025-02-21
25.705001,-100.351665,2025-02-21
25.703511,-100.268366,2025-02-21
25.650638,-100.286423,2025-02-21
25.657703,-100.304868,2025-02-21
25.666667,-100.279963,2025-02-21
25.666667,-100.279963,2025-02-21
25.666074,-100.297433,2025-02-21
25.68772,-100.261969,2025-02-21
25.681108,-100.303031,2025-02-21
25.75142,-100.402577,2025-02-21
25.70523,-100.277435,2025-02-21
25.682152,-100.27661,2025-02-21
25.704255,-100.370344,2025-02-21
25.721262,-100.357491,2025-02-21
25.699652,-100.362524,2025-02-21
25.6968,-100.35216,2025-02-21
25.717159,-100.384155,2025-02-21
25.668191,-100.31963,2025-02-21
25.666296,-100.306658,2025-02-21
25.682437,-100.298992,2025-02-21
25.696475,-100.335807,2025-02-21
25.779601,-100.397656,2025-02-21
25.72153,-100.360533,2025-02-21
25.717139,-100.354225,2025-02-21
25.573854,-100.275639,2025-02-21
25.638231,-100.272885,2025-02-21
25.665392,-100.311134,2025-02-21
25.68018,-100.327319,2025-02-21
25.627303,-100.305871,2025-02-21
25.665131,-100.317746,2025-02-21
25.655995,-100.296285,2025-02-21
25.615706,-100.286335,2025-02-21
25.673531,-100.352761,2025-02-21
25.673531,-100.352761,2025-02-21
25.673531,-100.352761,2025-02-21
25.661419,-100.335661,2025-02-21
25.673624,-100.380262,2025-02-21
25.725095,-100.342635,2025-02-21
25.668104,-100.334108,2025-02-21
25.722641,-100.3928,2025-02-21
25.673531,-100.352761,2025-02-22
25.554134,-100.231167,2025-02-22
25.684434,-100.318187,2025-02-22
25.673531,-100.352761,2025-02-22
25.673531,-100.352761,2025-02-22
25.635869,-100.314137,2025-02-22
25.673531,-100.352761,2025-02-22
25.651598,-100.2922,2025-02-22
25.733812,-100.337784,2025-02-22
25.684545,-100.326752,2025-02-22
25.720119,-100.388155,2025-02-22
25.720119,-100.388155,2025-02-22
25.667129,-100.307391,2025-02-22
25.666074,-100.297433,2025-02-22
25.650792,-100.293272,2025-02-22
25.665392,-100.311134,2025-02-22
25.677383,-100.325753,2025-02-22
25.671081,-100.353385,2025-02-22
25.673531,-100.352761,2025-02-22
25.579088,-100.249594,2025-02-22
25.696777,-100.351132,2025-02-22
25.668634,-100.298938,2025-02-22
25.68361,-100.35613,2025-02-22
25.671564,-100.333186,2025-02-22
25.675574,-100.352497,2025-02-22
25.704118,-100.316882,2025-02-22
25.668634,-100.298938,2025-02-22
25.666074,-100.297433,2025-02-22
25.730322,-100.396201,2025-02-22
25.744437,-100.402922,2025-02-22
25.665847,-100.334637,2025-02-22
25.714123,-100.362905,2025-02-22
25.768332,-100.384665,2025-02-22
25.686376,-100.266072,2025-02-22
25.73691,-100.350434,2025-02-22
25.755539,-100.375485,2025-02-22
25.604437,-100.267895,2025-02-22
25.659993,-100.29711,2025-02-22
25.714774,-100.350391,2025-02-22
25.696777,-100.351132,2025-02-22
25.72784,-100.350068,2025-02-22
25.720137,-100.358607,2025-02-22
25.734056,-100.400717,2025-02-22
25.667125,-100.289555,2025-02-22
25.660596,-100.30021,2025-02-22
25.705158,-100.309564,2025-02-22
25.682606,-100.267927,2025-02-22
25.682896,-100.278923,2025-02-22
25.6553,-100.301441,2025-02-22
25.712359,-100.377364,2025-02-22
25.673066,-100.298476,2025-02-22
25.656141,-100.30124,2025-02-22
25.6956,-100.321704,2025-02-22
25.683917,-100.283364,2025-02-22
25.705709,-100.26835,2025-02-22
25.595778,-100.260888,2025-02-22
25.708234,-100.317071,2025-02-22
25.682896,-100.278923,2025-02-22
25.696373,-100.343798,2025-02-22
25.702247,-100.350986,2025-02-22
25.682437,-100.298992,2025-02-22
25.587648,-100.25841,2025-02-22
25.65462,-100.294539,2025-02-22
25.734898,-100.398197,2025-02-22
25.747735,-100.389345,2025-02-22
25.639391,-100.284611,2025-02-22
25.637857,-100.291946,2025-02-22
25.671426,-100.380194,2025-02-22
25.768092,-100.415582,2025-02-22
25.670158,-100.333705,2025-02-22
25.778084,-100.385822,2025-02-22
25.752178,-100.349133,2025-02-22
25.720137,-100.358607,2025-02-22
25.665593,-100.34331,2025-02-22
25.735021,-100.342718,2025-02-22
25.750723,-100.356127,2025-02-22
25.725095,-100.342635,2025-02-22
25.735011,-100.370219,2025-02-23
25.70665,-100.37133,2025-02-23
25.68574,-100.312058,2025-02-23
25.715994,-100.342398,2025-02-23
25.7793,-100.391773,2025-02-23
25.792436,-100.376861,2025-02-23
25.675085,-100.279498,2025-02-23
25.72012,-100.388324,2025-02-23
25.631055,-100.279692,2025-02-23
25.550322,-100.223528,2025-02-23
25.72485,-100.324683,2025-02-23
25.739725,-100.339863,2025-02-23
25.647144,-100.274741,2025-02-23
25.692157,-100.369828,2025-02-23
25.676106,-100.305605,2025-02-23
25.676693,-100.319145,2025-02-23
25.677231,-100.331978,2025-02-23
25.653993,-100.295049,2025-02-23
25.659972,-100.2752,2025-02-23
25.734524,-100.333536,2025-02-23
25.775011,-100.400811,2025-02-23
25.716371,-100.373,2025-02-23
25.72153,-100.360533,2025-02-23
25.685966,-100.316975,2025-02-23
25.694172,-100.325464,2025-02-23
25.708034,-100.281722,2025-02-23
25.706437,-100.314603,2025-02-23
25.712747,-100.296034,2025-02-23
25.685223,-100.307291,2025-02-23
25.668339,-100.320271,2025-02-23
25.668191,-100.31963,2025-02-23
25.676259,-100.352265,2025-02-23
25.694417,-100.351237,2025-02-23
25.683474,-100.351874,2025-02-23
25.647144,-100.274741,2025-02-23
25.679945,-100.316756,2025-02-23
25.708034,-100.281722,2025-02-23
25.667119,-100.329147,2025-02-23
25.773568,-100.373713,2025-02-23
25.721104,-100.325859,2025-02-23
25.673698,-100.305396,2025-02-23
25.669975,-100.289807,2025-02-23
25.668235,-100.345326,2025-02-23
25.696777,-100.351132,2025-02-23
25.685552,-100.327564,2025-02-23
25.726222,-100.36662,2025-02-23
25.718519,-100.342573,2025-02-23
25.723113,-100.330304,2025-02-23
25.715559,-100.381887,2025-02-23
25.774021,-100.38046,2025-02-23
25.777299,-100.398952,2025-02-23
25.663172,-100.320093,2025-02-23
25.6808,-100.351874,2025-02-23
25.667194,-100.284491,2025-02-23
25.669752,-100.350442,2025-02-23
25.703511,-100.268366,2025-02-23
25.756627,-100.398041,2025-02-23
25.670353,-100.344519,2025-02-23
25.757586,-100.399373,2025-02-23
25.776151,-100.41616,2025-02-23
25.756931,-100.369032,2025-02-23
25.72012,-100.388324,2025-02-23
25.728863,-100.342547,2025-02-23
25.729406,-100.319694,2025-02-24
25.675301,-100.364822,2025-02-24
25.675301,-100.364822,2025-02-24
25.70407,-100.315577,2025-02-24
25.665392,-100.311134,2025-02-24
25.704617,-100.351492,2025-02-24
25.670946,-100.310078,2025-02-24
25.678798,-100.322686,2025-02-24
25.681757,-100.308709,2025-02-24
25.668769,-100.282496,2025-02-24
25.673442,-100.381167,2025-02-24
25.66508,-100.281266,2025-02-24
25.667194,-100.284491,2025-02-24
25.671319,-100.292401,2025-02-24
25.683274,-100.261341,2025-02-24
25.682112,-100.297031,2025-02-24
25.672341,-100.373594,2025-02-24
25.637144,-100.31015,2025-02-24
25.647748,-100.290249,2025-02-24
25.696823,-100.355271,2025-02-24
25.744087,-100.42056,2025-02-24
25.732125,-100.374038,2025-02-24
25.724604,-100.365268,2025-02-24
25.716644,-100.353194,2025-02-24
25.670158,-100.333705,2025-02-24
25.646496,-100.29715,2025-02-24
25.739961,-100.374206,2025-02-24
25.688125,-100.351498,2025-02-24
25.648587,-100.286574,2025-02-24
25.634932,-100.300544,2025-02-24
25.617758,-100.2709,2025-02-24
25.668634,-100.298938,2025-02-24
25.642536,-100.278237,2025-02-24
25.639387,-100.270027,2025-02-24
25.694271,-100.268117,2025-02-24
25.703511,-100.268366,2025-02-24
25.68887,-100.313617,2025-02-24
25.675584,-100.325005,2025-02-24
25.685785,-100.314045,2025-02-24
25.583139,-100.25454,2025-02-24
25.645519,-100.288777,2025-02-24
25.704617,-100.351492,2025-02-24
25.665886,-100.299604,2025-02-24
25.660023,-100.317579,2025-02-24
25.663765,-100.303268,2025-02-24
25.613282,-100.271268,2025-02-24
25.788649,-100.37814,2025-02-24
25.721014,-100.388676,2025-02-24
25.761617,-100.382906,2025-02-24
25.761617,-100.382906,2025-02-24
25.66402,-100.312217,2025-02-24
25.673531,-100.352761,2025-02-24
25.585121,-100.256473,2025-02-24
25.723113,-100.330304,2025-02-24
25.739266,-100.358643,2025-02-24
25.708946,-100.374221,2025-02-24
25.664875,-100.316418,2025-02-24
25.689637,-100.311551,2025-02-24
25.70369,-100.287915,2025-02-24
25.669752,-100.350442,2025-02-24
25.663089,-100.299724,2025-02-24
25.7538,-100.358894,2025-02-24
25.723004,-100.374365,2025-02-24
25.717401,-100.3547,2025-02-24
25.758356,-100.427293,2025-02-24
25.69532,-100.287899,2025-02-24
25.711706,-100.36312,2025-02-24
25.701283,-100.364858,2025-02-24
25.710323,-100.35638,2025-02-24
25.702775,-100.367078,2025-02-24
25.717575,-100.353555,2025-02-24
25.75161,-100.364376,2025-02-24
25.763307,-100.401365,2025-02-24
25.636371,-100.309858,2025-02-24
25.686798,-100.333209,2025-02-24
25.721262,-100.357491,2025-02-24
25.784064,-100.373924,2025-02-24
25.73612,-100.342605,2025-02-24
25.661983,-100.313077,2025-02-24
25.647144,-100.274741,2025-02-24
25.665392,-100.311134,2025-02-24
25.669752,-100.350442,2025-02-24
25.666531,-100.338549,2025-02-24
25.662757,-100.317036,2025-02-24
25.670959,-100.285052,2025-02-25
25.597659,-100.262772,2025-02-25
25.677334,-100.317102,2025-02-25
25.670187,-100.353801,2025-02-25
25.647748,-100.290249,2025-02-25
25.684179,-100.307419,2025-02-25
25.686407,-100.319749,2025-02-25
25.694556,-100.313886,2025-02-25
25.677866,-100.289845,2025-02-25
25.751613,-100.382423,2025-02-25
25.7181,-100.343711,2025-02-25
25.71449,-100.308362,2025-02-25
25.711614,-100.301678,2025-02-25
25.683212,-100.277681,2025-02-25
25.615794,-100.269938,2025-02-25
25.756299,-100.367116,2025-02-25
25.688898,-100.314614,2025-02-25
25.646633,-100.289594,2025-02-25
25.673073,-100.382051,2025-02-25
25.76586,-100.398078,2025-02-25
25.696104,-100.380064,2025-02-25
25.673345,-100.352573,2025-02-25
25.668235,-100.345326,2025-02-25
25.685664,-100.352002,2025-02-25
25.668555,-100.321257,2025-02-25
25.64344,-100.299208,2025-02-25
25.686831,-100.331257,2025-02-25
25.74554,-100.394366,2025-02-25
25.679945,-100.316756,2025-02-25
25.754146,-100.428739,2025-02-25
25.705052,-100.291435,2025-02-25
25.701168,-100.361634,2025-02-25
25.688551,-100.327192,2025-02-25
25.6739,-100.317526,2025-02-25
25.697286,-100.341105,2025-02-25
25.696459,-100.324715,2025-02-25
25.663154,-100.318968,2025-02-25
25.56655,-100.239346,2025-02-25
25.666189,-100.276046,2025-02-25
25.743383,-100.381975,2025-02-25
25.740677,-100.379578,2025-02-25
25.710319,-100.365699,2025-02-25
25.683801,-100.288466,2025-02-25
25.672347,-100.318738,2025-02-25
25.587712,-100.258178,2025-02-25
25.685966,-100.316975,2025-02-25
25.579088,-100.249594,2025-02-25
25.70492,-100.352275,2025-02-25
25.601782,-100.266418,2025-02-25
25.700973,-100.361118,2025-02-25
25.736374,-100.375953,2025-02-25
25.664773,-100.30691,2025-02-25
25.7408,-100.33495,2025-02-25
25.704053,-100.359385,2025-02-25
25.705063,-100.36948,2025-02-25
25.711446,-100.308767,2025-02-25
25.720943,-100.346684,2025-02-25
25.712359,-100.377364,2025-02-25
25.704617,-100.351492,2025-02-25
25.675378,-100.307286,2025-02-25
25.714774,-100.350391,2025-02-25
25.671319,-100.292401,2025-02-25
25.688091,-100.316738,2025-02-25
25.647144,-100.274741,2025-02-25
25.688125,-100.351498,2025-02-25
25.704617,-100.351492,2025-02-25
25.582609,-100.244028,2025-02-25
25.627134,-100.276946,2025-02-25
